profesor,url,komentar
Biden Jr. Joseph Robinette,https://profesorji.net/profesor/feri/uni/joseph-robinette-biden-jr,moč komentarja:-0+8Sploh ne ve kaj govori. Deluje ful zmedenostrinjam sene strinjam se
Biden Jr. Joseph Robinette,https://profesorji.net/profesor/feri/uni/joseph-robinette-biden-jr,"Napisal:Trumpmoč komentarja:-0+5Ne ve kaj govori, ves čas pozablja, včasih se tudi spotakne po stopnicahstrinjam sene strinjam se"
Biden Jr. Joseph Robinette,https://profesorji.net/profesor/feri/uni/joseph-robinette-biden-jr,"Napisal:Nemoč komentarja:-0+2Obožujem Vlasti, Urško in Edito.
Lp svenu so travo vzeli in še kar kadi.
Vapo veliko rit ima.
Luka pameten je.strinjam sene strinjam se"
Biden Jr. Joseph Robinette,https://profesorji.net/profesor/feri/uni/joseph-robinette-biden-jr,"moč komentarja:-0+1neresen, dementen, samo o ""chocolate chip"" sladoledu govoristrinjam sene strinjam se"
Biden Jr. Joseph Robinette,https://profesorji.net/profesor/feri/uni/joseph-robinette-biden-jr,"Napisal:diskretnesomiunicilezivljenjemoč komentarja:-0+1Ta profesor je do k*rca. Pol cajta se zatakne v besedo, ne ve kaj govori, njegove povedi so word salad, ene parkrat jr celo zaspal. Go home sleepy Joe!!!!strinjam sene strinjam se"
Babič Rudolf,https://profesorji.net/profesor/feri/uni/babic-1,"Fakulteta za elektrotehniko, računalništvo in informatiko / UNIRudolf Babič4.0/5Število ocen:47Predmeti:Elektronska vezja 1(3L)Elektronska vezja 2(4L)Praktikum 1(4L)dodaj predmetKomentiraj predmete! Klikni na ime predmeta zgoraj!Spremeni podatke profesorjaDodaj komentarSponzorjiO tem profesorju še nihče ni napisal mnenja."
Babič Rudolf,https://profesorji.net/profesor/feri/uni/babic-1,Rudolf Babič4.0/5Število ocen:47Predmeti:Elektronska vezja 1(3L)Elektronska vezja 2(4L)Praktikum 1(4L)dodaj predmetKomentiraj predmete! Klikni na ime predmeta zgoraj!Spremeni podatke profesorjaDodaj komentarSponzorjiO tem profesorju še nihče ni napisal mnenja.
Banana Ana,https://profesorji.net/profesor/feri/uni/ana-banana,"Fakulteta za elektrotehniko, računalništvo in informatiko / UNIAna Banana4.4/5Število ocen:7Predmeti:dodaj predmetKomentiraj predmete! Klikni na ime predmeta zgoraj!Spremeni podatke profesorjaDodaj komentarSponzorjiO tem profesorju še nihče ni napisal mnenja."
Banana Ana,https://profesorji.net/profesor/feri/uni/ana-banana,Ana Banana4.4/5Število ocen:7Predmeti:dodaj predmetKomentiraj predmete! Klikni na ime predmeta zgoraj!Spremeni podatke profesorjaDodaj komentarSponzorjiO tem profesorju še nihče ni napisal mnenja.
Beković Miloš,https://profesorji.net/profesor/feri/uni/milos-bekovic,"Napisal:FERImatmoč komentarja:-12+60Legendarni profesor, zna na enostaven način razložiti snov, poleg tega pa je vskao uro nasmejan in pozitiven! več takih :Dstrinjam sene strinjam se"
Beković Miloš,https://profesorji.net/profesor/feri/uni/milos-bekovic,moč komentarja:-11+18Zelo zahrbten in hinavski.strinjam sene strinjam se
Beković Miloš,https://profesorji.net/profesor/feri/uni/milos-bekovic,moč komentarja:-5+9legendastrinjam sene strinjam se
Beković Miloš,https://profesorji.net/profesor/feri/uni/milos-bekovic,Napisal:ucenjakmoč komentarja:-1+4ja Milos je velika faca in zradi njega sem kar sem. Je zelo nasmejan in rad pomaga. brez njega nebi postal električar v ameriskem podjetju AEP pomočnik vodje. Hvala za vse.strinjam sene strinjam se
Belak Rebozu Aljaž,https://profesorji.net/profesor/feri/uni/aljaz-belak-rebozu,Napisal:Uroš Mlakarmoč komentarja:-0+15Pri ORV vedno zalaufa meeting na teamsih 5min predn se vaje zacnejo smhstrinjam sene strinjam se
Belak Rebozu Aljaž,https://profesorji.net/profesor/feri/uni/aljaz-belak-rebozu,Napisal:berkomoč komentarja:-0+14Sramakstrinjam sene strinjam se
Belak Rebozu Aljaž,https://profesorji.net/profesor/feri/uni/aljaz-belak-rebozu,Napisal:Klemen Berkovičmoč komentarja:-5+19Kaj pa vem nostrinjam sene strinjam se
Belak Rebozu Aljaž,https://profesorji.net/profesor/feri/uni/aljaz-belak-rebozu,Napisal:janimoč komentarja:-0+1steroidekstrinjam sene strinjam se
Belak Rebozu Aljaž,https://profesorji.net/profesor/feri/uni/aljaz-belak-rebozu,"Napisal:Jan Breznarmoč komentarja:-0+1Meh, ni nekajstrinjam sene strinjam se"
Belak Rebozu Aljaž,https://profesorji.net/profesor/feri/uni/aljaz-belak-rebozu,"Napisal:XXmoč komentarja:-0+0Men je biu super, dober mentor, lep, poučen in ve kaj dela. Dvignu mi je oceno in mene zraven :)strinjam sene strinjam se"
Beranič Tina,https://profesorji.net/profesor/feri/uni/tina-beranic,"Napisal:keksmoč komentarja:-3+29Dejansko dobra in se dejansko zanima na to, kar predava!!strinjam sene strinjam se"
Beranič Tina,https://profesorji.net/profesor/feri/uni/tina-beranic,moč komentarja:-4+26Tina je vredi. Fajna asistentka.strinjam sene strinjam se
Beranič Tina,https://profesorji.net/profesor/feri/uni/tina-beranic,Napisal:Karateistmoč komentarja:-2+23meni se zdi super :Dstrinjam sene strinjam se
Beranič Tina,https://profesorji.net/profesor/feri/uni/tina-beranic,"moč komentarja:-2+14Sem jo imel pri večih predmetih in je bila pri vseh korektna, znala je dobro in zanimivo razložiti snov. Z njo se je dalo marsikaj dogovorit, pa tudi ona se je za nas potegnila pred profesorji ipd. Top.strinjam sene strinjam se"
Beranič Tina,https://profesorji.net/profesor/feri/uni/tina-beranic,"moč komentarja:-2+10Tina je spoštljiva, down-to-earth, prijazna.. skratka - odlična asistentka. Polna je obširnega znanja, ki ga z veseljem podeli s študenti.strinjam sene strinjam se"
Beranič Tina,https://profesorji.net/profesor/feri/uni/tina-beranic,Napisal:drekmoč komentarja:-2+3queen babygirlstrinjam sene strinjam se
Beranič Tina,https://profesorji.net/profesor/feri/uni/tina-beranic,"moč komentarja:-1+0Pa tina je vredi, edin včasih rada kej po svoje nardi tk ko recimo na predavanjih pove ampak drgač je pa kul (všeč ji je če hodiš na njena predavanja)strinjam sene strinjam se"
Beranič Tina,https://profesorji.net/profesor/feri/uni/tina-beranic,"Napisal:tina lovermoč komentarja:-3+1zelo dobra je, pa tudo zelo dobro predava. ful dobro razlaga pa predavanja so zanimiva pa dobro se razume z dijaki pač zna nas razumet.strinjam sene strinjam se"
Beranič Tina,https://profesorji.net/profesor/feri/uni/tina-beranic,moč komentarja:-19+6Ma trio adijo Tina n Martina kot Joc in Joc... Ce hoces vaje nardit mores na predavanja hodit ker neznata navodil napisat temvec so podane na predavanjih...strinjam sene strinjam se
Beranič Tina,https://profesorji.net/profesor/feri/uni/tina-beranic,Napisal:Markomoč komentarja:-32+3Popravljam ker sem mislo dat 1.strinjam sene strinjam se
Berglez Uroš,https://profesorji.net/profesor/feri/uni/uros-berglez,"Napisal:mojstermihamoč komentarja:-2+9Njegov moodle aka. spletna ucilnica je kot smetisce, nicesar ne najdes...strinjam sene strinjam se"
Berglez Uroš,https://profesorji.net/profesor/feri/uni/uros-berglez,"moč komentarja:-2+7Da neko nalogo brez navodil, jo nardiš, objavi navodila 1 tedn pozneje in jo moreš spremenit.

Moodle ma grozn.strinjam sene strinjam se"
Berglez Uroš,https://profesorji.net/profesor/feri/uni/uros-berglez,"Napisal:Marivelamoč komentarja:-1+2Se strinjam glede primerov iz literature, ampak kaj pa naloge, ki jih rešuješ na ustnem izpitu? Jaz sem dobila za računat nekaj kar ni imelo veze s snovjo, ki smo jo obravnavali na predavanjih. Ko sem ga na to opozorila, je bilo vse zaman. Med urami (seminar skupine Modul 5) tudi govori precej hitro in si ne moremo izdelovati zapiskov. Tista ""izpitna vprašanja"" iz delovnih listov si moramo pa v vsakem primeru razlagati s pomočjo spletnih virov podatkov, ker ni njegova razlaga v skorajda nobeno korist. Nepripravljen prihaja na predavanja in je s svojimi vprašanji dolgočasen in nevljuden do študentov v naši skupini.strinjam sene strinjam se"
Berglez Uroš,https://profesorji.net/profesor/feri/uni/uros-berglez,"moč komentarja:-3+1No literatura, ki jo uporablja pri predavanjih precej olajša razumevanje povedanega in je tudi bolj praktična. Glede na to, da se primerov iz prakse ne slajdih ne obravnava, je zanimivo videti, kako poteka reševanje problemov na terenu. Pa njegovo dodeljevanje naslovov seminarskih je sploh zabavno, ko prinese kocke, ki jih je mečemo in v primeru, da dve skupini vržeta isto vrednost jih vpraša dodatno vprašanje vezano na snov.strinjam sene strinjam se"
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,Napisal:thanosmoč komentarja:-48+302res ne vem kako ga g. Bošković lahko prenašastrinjam sene strinjam se
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,"moč komentarja:-52+298Meni je bil katastrofa. Ko ga prosiš za pomoč, ti raloži zelo slabo, pri zagovorih pa je nenormalno pikolovski.

Neverjetno je užaljen če mu rečeš da si črpal iz primerov na internetu in temu primerno dobiš oceno, kjub temu da program deluje pravilno in ga znaš razložit.

Vsaj takšnje so bile moje izkušnje.strinjam sene strinjam se"
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,"moč komentarja:-49+281Prideš na zagovor vaj, pa da ne rečem drugače te malo v glavo jebe in potem ti da slabo oceno ker nisi naredil nekaj tako kot bi si on želel. Seveda je pri tem zelo pikolovski in nesramen.strinjam sene strinjam se"
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,Napisal:yeahmoč komentarja:-46+278misli da je Borkotov guardianstrinjam sene strinjam se
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,Napisal:anonimcmoč komentarja:-47+261Pa ta clouk sam filozofirastrinjam sene strinjam se
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,moč komentarja:-47+252Človek sploh ne pozna nobenega zbirnega jezika. Tudi C++ sploh ne obvlada.strinjam sene strinjam se
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,Napisal:brezomoč komentarja:-103+285pravi hobostrinjam sene strinjam se
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,"moč komentarja:-1+117.
─────────────────────────────
────────────▄████▄───────────
───────────▄██████▄──────────
───────────█──────█──────────
───────────█──────█──────────
───────────█─▄▄▄▄─█──────────
───────────█──────█──────────
───────────█──────█──────────
───────────█─▄▄▄▄─█──────────
───────────█──────█──────────
───────────█──────█──────────
───────────█─▄▄▄▄─█──────────
───────────█──────█──────────
───────────█──────█──────────
───────────█─▄▄▄▄─█▄▄▄▄──────
────▄███████──────█▀█─▀██▄───
▄█████─────█──────█──█─▀██▄──
█────█─────█──────█───█──██▄─
█────█─────█──────█────█──██▄
█────█─────█──────█─────█──██
█────█─────█──────█─────█─██▀
█────█─────█──────█─────███▀─
█────█─────█──────█─────██▀──
█───────────────────────██───
███▄────────────────────█▀───
─▀███▄────────────────▄██────
───▀████████████████████▀────
─────▀████████████████▀──────
────────▀███████████▀────────strinjam sene strinjam se"
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,"moč komentarja:-1+109░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
░░▄▀░░░▄░░░▄▀▀▄▀▄░░░░░░░░░░░░░
░█░░░░▐▐░░█░░▐▐░░▐░░░░░░▄▄░░░░
░█░░░░░▀░░░▀▄░▀░░▐░░░░░▐░░▐░░░
░█░░░░░░░▄░░▐░░░░▐░░░▄▄▐░░▐▄▄░
░░▀▄░░░░▄░▀▀░▄░░▄▀░░▐░░▐░░▐░▐░
░░░░▀░░░░▀▀▀▀░░▀░░░░▐░░░░░░░▐░
░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░strinjam sene strinjam se"
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,Napisal:brezomoč komentarja:-17+90Moja mama je hobo? Povej mi to v obraz na feriju če upašstrinjam sene strinjam se
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,"moč komentarja:-24+85@brezo: Mama ti je hobo!!!

Drugače ja, g. Berkovič je korekten in išče znanje pri zagovorih. Se glede na to, da je mlad IT strokovnjak, precej se spozna na različne tematike in ima zelo bogato znanje. Mislim, da je premalo cenjen pri svojem delu, ker so nekateri predmeti, pri katerih sodeluje, težji, nekatere vaje se tudi ne pokrivajo najbolje s predavanji dotičnih predmetov, kar so pa krivi nosilci predmetov, in ne asistentje / tehnični sodelavci.strinjam sene strinjam se"
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,"Napisal:Menmoč komentarja:-4+17............/´¯/)..............(\¯`\...... ......
............/....//..............\\....\...........
.........../....//................\\....\..........
....../´¯/..../´¯\............/¯` ....\¯`\.....
..././.../..../..../.|_....._|.\....\....\...\.\..
(.(....(....(..../.)..).....(..(.\....)....)....).)
.\................\/.../....\...\/................/
..\................. /........\................../.
....\..............(............)............../...
......\.............\.........../............./....strinjam sene strinjam se"
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,"Napisal:chadmoč komentarja:-4+17Sošolcu je težil uro in pol na zagovoru prve vaje. Kak ti uspe biti tako zatežen, žal nevem xD.strinjam sene strinjam se"
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,"moč komentarja:-1+5⣿⣿⣿⣿⡟⠛⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣇⠀⣾⣿⡿⠿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⡟⠋⠙⠻⢿⡄⢻⡏⠀⠀⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣦⣀⣀⡀⠀⠙⢌⡇⢀⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣷⣦⣀⠳⡈⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⠉⢉⣁⠀⣸⡿⠿⠿⠿⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣶⣾⡿⠋⠁⢠⣴⣶⣦⣄⡈⠙⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⠏⢀⣴⢠⣿⣿⣿⣿⣿⣿⣦⠀⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⡟⠀⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⣄⠈⠛⠿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⡇⠀⣿⣿⡿⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⣄⠈⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⡀⠘⣿⡇⠀⠻⢿⣿⣿⣿⣿⣿⣿⣿⡿⠋⠀⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣷⣄⠈⠃⢰⣤⣀⣀⡉⠉⠉⠉⠉⠁⠀⠀⠀⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣷⡄⠈⣿⣿⣿⣿⣿⣷⡄⠀⣴⡄⡇⢴⣄⠈⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠀⢹⣿⣿⣿⣿⣿⣿⢰⣿⠁⣇⢸⣿⣷⣄⠈⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣇⠈⢿⣿⣿⣿⣿⣿⢸⣿⠀⢹⣿⣿⣿⣿⣷⣄⠈⠻⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣆⠈⢻⣿⣿⣿⣿⢸⣿⣷⣿⣿⣿⣿⣿⣿⣿⣿⣦⡀⠙⠻⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⠀⠀⠻⣿⣿⡏⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⣄⠈⠙⢿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠀⡆⠀⠘⢿⣦⣠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⡀⠙⢿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀⡇⢸⣦⡀⠙⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣆⠈⠻⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⡇⢸⣿⡿⠀⠀⠙⠿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠀⠹⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⢸⠏⢀⣀⡀⠀⠀⠈⠙⠻⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠀⢻
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠏⢀⣾⣿⣧⢠⣦⡄⢠⡄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡄⠸
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⠀⣼⣿⣿⡿⠘⣿⡇⣼⡃⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⠀
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⠀⣿⣿⣿⣷⣶⣿⡇⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⠀
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⠀⣿⣿⣿⣿⣿⠋⡀⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⢀
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠀⢹⣿⣿⣿⡇⢰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠁⢸
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⡀⠙⢿⣿⡇⠈⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠏⢀⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⡀⠉⠓⠀⠹⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠋⢀⣼⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⣦⣀⠀⠙⠿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠋⠀⣠⣾⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⣄⠈⠙⠛⠻⠿⠿⠛⠛⠉⢁⣠⣴⣾⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡶⠦⠤⣤⣤⣴⣶⣾⣿⣿⣿⣿⣿⣿⣿⣿strinjam sene strinjam se"
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,moč komentarja:-0+4he a real onestrinjam sene strinjam se
Berkovič Klemen,https://profesorji.net/profesor/feri/uni/klemen-berkovic,"moč komentarja:-1+4⠀⠀⠀⠀⠀⠀⠀⣠⣤⣤⣤⣤⣤⣄⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⢰⡿⠋⠁⠀⠀⠈⠉⠙⠻⣷⣄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⢀⣿⠇⠀⢀⣴⣶⡾⠿⠿⠿⢿⣿⣦⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⣀⣀⣸⡿⠀⠀⢸⣿⣇⠀⠀⠀⠀⠀⠀⠙⣷⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⣾⡟⠛⣿⡇⠀⠀⢸⣿⣿⣷⣤⣤⣤⣤⣶⣶⣿⠇⠀⠀⠀⠀⠀⠀⠀⣀⠀⠀
⢀⣿⠀⢀⣿⡇⠀⠀⠀⠻⢿⣿⣿⣿⣿⣿⠿⣿⡏⠀⠀⠀⠀⢴⣶⣶⣿⣿⣿⣆
⢸⣿⠀⢸⣿⡇⠀⠀⠀⠀⠀⠈⠉⠁⠀⠀⠀⣿⡇⣀⣠⣴⣾⣮⣝⠿⠿⠿⣻⡟
⢸⣿⠀⠘⣿⡇⠀⠀⠀⠀⠀⠀⠀⣠⣶⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠁⠉⠀
⠸⣿⠀⠀⣿⡇⠀⠀⠀⠀⠀⣠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠟⠉⠀⠀⠀⠀
⠀⠻⣷⣶⣿⣇⠀⠀⠀⢠⣼⣿⣿⣿⣿⣿⣿⣿⣛⣛⣻⠉⠁⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⢸⣿⠀⠀⠀⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⢸⣿⣀⣀⣀⣼⡿⢿⣿⣿⣿⣿⣿⡿⣿⣿⡿⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠙⠛⠛⠛⠋⠁⠀⠙⠻⠿⠟⠋⠑⠛⠋⠀strinjam sene strinjam se"
